row_id,organisasi_id,kode_skpd,nama_skpd,tipe_organisasi,kode_urusan,nama_urusan,kategori_urusan,kode_rekening,kode_akun,kode_kelompok,kode_jenis,kode_objek,kode_rincian,kode_sub_rincian,level,nama_level,klasifikasi_akun,kategori_belanja,uraian,indikator,jumlah_rp,halaman_sumber,lampiran,tahun_anggaran,sumber_data
1,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1,4,4.1,,,,,2,Kelompok,PENDAPATAN,Pendapatan,PENDAPATAN ASLI DAERAH (PAD),,2859122172935.0,26,II,2025,RINCIAN_APBD
2,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01,4,4.1,4.1.01,,,,3,Jenis,PENDAPATAN,Pendapatan,Pajak Daerah,,1722008235092.0,26,II,2025,RINCIAN_APBD
3,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01,4,4.1,4.1.01,4.1.01.01,,,4,Objek,PENDAPATAN,Pendapatan,Pajak Kendaraan Bermotor (PKB),,431240454999.0,26,II,2025,RINCIAN_APBD
4,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.01,4,4.1,4.1.01,4.1.01.01,4.1.01.01.01,,5,Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Penumpang-Sedan,,8042759170.0,26,II,2025,RINCIAN_APBD
5,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.01.0001,4,4.1,4.1.01,4.1.01.01,4.1.01.01.01,4.1.01.01.01.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Penumpang-Sedan-Pribadi,,8042759170.0,26,II,2025,RINCIAN_APBD
6,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.02,4,4.1,4.1.01,4.1.01.01,4.1.01.01.02,,5,Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Penumpang-Jeep,,36117723578.0,26,II,2025,RINCIAN_APBD
7,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.02.0001,4,4.1,4.1.01,4.1.01.01,4.1.01.01.02,4.1.01.01.02.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Penumpang-Jeep-Pribadi,,36117723578.0,26,II,2025,RINCIAN_APBD
8,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.03,4,4.1,4.1.01,4.1.01.01,4.1.01.01.03,,5,Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Penumpang-Minibus,,204430545936.0,26,II,2025,RINCIAN_APBD
9,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.03.0002,4,4.1,4.1.01,4.1.01.01,4.1.01.01.03,4.1.01.01.03.0002,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Penumpang-Minibus-Umum,,204430545936.0,26,II,2025,RINCIAN_APBD
10,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.04,4,4.1,4.1.01,4.1.01.01,4.1.01.01.04,,5,Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Bus-Microbus,,1858990499.0,26,II,2025,RINCIAN_APBD
11,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.04.0002,4,4.1,4.1.01,4.1.01.01,4.1.01.01.04,4.1.01.01.04.0002,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Bus-Microbus-Umum,,1858990499.0,26,II,2025,RINCIAN_APBD
12,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.05,4,4.1,4.1.01,4.1.01.01,4.1.01.01.05,,5,Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Bus-Bus,,680293559.0,26,II,2025,RINCIAN_APBD
13,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.05.0002,4,4.1,4.1.01,4.1.01.01,4.1.01.01.05,4.1.01.01.05.0002,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Bus-Bus-Umum,,680293559.0,26,II,2025,RINCIAN_APBD
14,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.06,4,4.1,4.1.01,4.1.01.01,4.1.01.01.06,,5,Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Barang/Beban-Pick Up,,35741081132.0,26,II,2025,RINCIAN_APBD
15,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.06.0002,4,4.1,4.1.01,4.1.01.01,4.1.01.01.06,4.1.01.01.06.0002,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Barang/Beban-Pick Up-Umum,,35741081132.0,26,II,2025,RINCIAN_APBD
16,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.07,4,4.1,4.1.01,4.1.01.01,4.1.01.01.07,,5,Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Barang/Beban-Light Truck,,14711958457.0,26,II,2025,RINCIAN_APBD
17,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.07.0002,4,4.1,4.1.01,4.1.01.01,4.1.01.01.07,4.1.01.01.07.0002,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Barang/Beban-Light Truck-Umum,,14711958457.0,26,II,2025,RINCIAN_APBD
18,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.08,4,4.1,4.1.01,4.1.01.01,4.1.01.01.08,,5,Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Barang/Beban-Truck,,7433704365.0,26,II,2025,RINCIAN_APBD
19,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.08.0002,4,4.1,4.1.01,4.1.01.01,4.1.01.01.08,4.1.01.01.08.0002,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,PKB-Mobil Barang/Beban-Truck-Umum,,7433704365.0,26,II,2025,RINCIAN_APBD
20,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.10,4,4.1,4.1.01,4.1.01.01,4.1.01.01.10,,5,Rincian Objek,PENDAPATAN,Pendapatan,PKB-Sepeda Motor-Sepeda Motor Roda Dua,,118983907778.0,26,II,2025,RINCIAN_APBD
21,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.10.0001,4,4.1,4.1.01,4.1.01.01,4.1.01.01.10,4.1.01.01.10.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,PKB-Sepeda Motor-Sepeda Motor Roda Dua-Pribadi,,118983907778.0,26,II,2025,RINCIAN_APBD
22,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.11,4,4.1,4.1.01,4.1.01.01,4.1.01.01.11,,5,Rincian Objek,PENDAPATAN,Pendapatan,PKB-Sepeda Motor-Sepeda Motor Roda Tiga,,48966675.0,26,II,2025,RINCIAN_APBD
23,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.11.0002,4,4.1,4.1.01,4.1.01.01,4.1.01.01.11,4.1.01.01.11.0002,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,PKB-Sepeda Motor-Sepeda Motor Roda Tiga-Umum,,48966675.0,26,II,2025,RINCIAN_APBD
24,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.13,4,4.1,4.1.01,4.1.01.01,4.1.01.01.13,,5,Rincian Objek,PENDAPATAN,Pendapatan,PKB-Kendaraan Khusus Alat Berat/Alat Besar,,3190523850.0,26,II,2025,RINCIAN_APBD
25,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.01.13.0002,4,4.1,4.1.01,4.1.01.01,4.1.01.01.13,4.1.01.01.13.0002,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,PKB-Kendaraan Khusus Alat Berat/Alat Besar-Umum,,3190523850.0,26,II,2025,RINCIAN_APBD
26,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02,4,4.1,4.1.01,4.1.01.02,,,4,Objek,PENDAPATAN,Pendapatan,Bea Balik Nama Kendaraan Bermotor (BBNKB),,340123426001.0,26,II,2025,RINCIAN_APBD
27,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.01,4,4.1,4.1.01,4.1.01.02,4.1.01.02.01,,5,Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Penumpang-Sedan,,1132354413.0,26,II,2025,RINCIAN_APBD
28,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.01.0001,4,4.1,4.1.01,4.1.01.02,4.1.01.02.01,4.1.01.02.01.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Penumpang-Sedan,,1132354413.0,26,II,2025,RINCIAN_APBD
29,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.02,4,4.1,4.1.01,4.1.01.02,4.1.01.02.02,,5,Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Penumpang-Jeep,,25991358527.0,26,II,2025,RINCIAN_APBD
30,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.02.0001,4,4.1,4.1.01,4.1.01.02,4.1.01.02.02,4.1.01.02.02.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Penumpang-Jeep,,25991358527.0,26,II,2025,RINCIAN_APBD
31,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.03,4,4.1,4.1.01,4.1.01.02,4.1.01.02.03,,5,Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Penumpang-Minibus,,117751275496.0,26,II,2025,RINCIAN_APBD
32,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.03.0001,4,4.1,4.1.01,4.1.01.02,4.1.01.02.03,4.1.01.02.03.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Penumpang-Minibus,,117751275496.0,26,II,2025,RINCIAN_APBD
33,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.04,4,4.1,4.1.01,4.1.01.02,4.1.01.02.04,,5,Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Bus-Microbus,,1342838821.0,26,II,2025,RINCIAN_APBD
34,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.04.0001,4,4.1,4.1.01,4.1.01.02,4.1.01.02.04,4.1.01.02.04.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Bus-Microbus,,1342838821.0,27,II,2025,RINCIAN_APBD
35,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.05,4,4.1,4.1.01,4.1.01.02,4.1.01.02.05,,5,Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Bus-Bus,,554076276.0,27,II,2025,RINCIAN_APBD
36,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.05.0001,4,4.1,4.1.01,4.1.01.02,4.1.01.02.05,4.1.01.02.05.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Bus-Bus,,554076276.0,27,II,2025,RINCIAN_APBD
37,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.06,4,4.1,4.1.01,4.1.01.02,4.1.01.02.06,,5,Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Barang/Beban-Pick Up,,24765836292.0,27,II,2025,RINCIAN_APBD
38,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.06.0001,4,4.1,4.1.01,4.1.01.02,4.1.01.02.06,4.1.01.02.06.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Barang/Beban-Pick Up,,24765836292.0,27,II,2025,RINCIAN_APBD
39,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.07,4,4.1,4.1.01,4.1.01.02,4.1.01.02.07,,5,Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Barang/Beban-Light Truck,,3673760974.0,27,II,2025,RINCIAN_APBD
40,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.07.0001,4,4.1,4.1.01,4.1.01.02,4.1.01.02.07,4.1.01.02.07.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Barang/Beban-Light Truck,,3673760974.0,27,II,2025,RINCIAN_APBD
41,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.08,4,4.1,4.1.01,4.1.01.02,4.1.01.02.08,,5,Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Barang/Beban-Truck,,2386958655.0,27,II,2025,RINCIAN_APBD
42,31,7.01.01,Sekretariat Daerah Aceh,SETDA,7.01,Pemerintahan Umum,PENUNJANG,4.1.01.02.08.0001,4,4.1,4.1.01,4.1.01.02,4.1.01.02.08,4.1.01.02.08.0001,6,Sub Rincian Objek,PENDAPATAN,Pendapatan,BBNKB-Mobil Barang/Beban-Truck,,2386958655.0,27,II,2025,RINCIAN_APBD
